,Family Name,Given Name,Nation,Races,"Sh Time
P","Sh Time
S","Sh Time
T","Rg Time
P","Rg Time
S","Rg Time
T","Sh Time
IN","Sh Time
SP","Sh Time
Pu","Sh Time
MS","Rg Time
IN","Rg Time
SP","Rg Time
PU","Rg Time
MS","Penalty
Loop"
74,PISCORAN,Luminita,ROU,13,0:33.8,0:30.9,0:32.3,0:56.3,0:53.5,0:54.9,0:32.8,0:31.6,0:33.8,,0:55.3,0:54.1,0:57.4,,0:26.4
75,DUNKLEE,Susan,USA,24,0:33.1,0:32.1,0:32.6,0:53.4,0:52.4,0:52.9,0:33.7,0:32.8,0:32.6,0:31.7,0:54.8,0:53.6,0:52.6,0:51.6,0:24.4
76,SCHWAIGER,Julia,AUT,2,0:34.2,0:30.9,0:32.6,0:56.8,0:52.9,0:54.9,0:33.8,0:30.0,,,0:52.8,0:59.0,,,0:28.0
77,BESCOND,Anais,FRA,24,0:35.3,0:30.0,0:32.7,0:55.0,0:49.9,0:52.4,0:34.8,0:33.8,0:32.3,0:30.9,0:54.5,0:53.5,0:52.2,0:50.6,0:24.0
78,SOLEMDAL,Synnoeve,NOR,16,0:35.4,0:29.9,0:32.7,0:57.8,0:51.6,0:54.7,0:32.9,0:34.9,0:31.5,0:31.3,0:56.4,0:56.0,0:52.5,0:59.7,0:26.0
79,MALI,Andreja,SLO,11,0:35.9,0:29.4,0:32.7,0:59.9,0:52.7,0:56.3,0:36.1,0:29.7,0:31.9,,1:00.2,0:53.5,0:54.7,,0:26.2
80,HWANG,Hyesuk,KOR,2,0:30.3,0:35.0,0:32.7,0:50.6,0:54.4,0:52.5,0:33.8,0:30.5,,,0:53.6,0:50.3,,,
81,SOUKALOVA,Gabriela,CZE,25,0:35.3,0:30.4,0:32.8,0:55.0,0:50.4,0:52.7,0:33.7,0:32.6,0:32.9,0:32.5,0:53.7,0:52.6,0:53.3,0:51.1,0:23.4
82,TACHIZAKI,Fuyuko,JPN,20,0:32.2,0:33.4,0:32.8,0:53.6,0:54.6,0:54.1,0:31.2,0:32.6,0:33.6,0:33.2,0:52.7,0:54.1,0:54.9,0:54.0,0:25.7
83,BEILMANN,Meril,EST,6,0:34.3,0:31.3,0:32.8,0:55.7,0:52.6,0:54.2,0:33.3,0:32.3,,,0:54.3,0:54.0,,,0:26.0
84,GWIZDON,Magdalena,POL,25,0:34.7,0:31.1,0:32.9,0:55.2,0:52.2,0:53.7,0:33.7,0:34.7,0:31.6,0:32.8,0:53.5,0:56.0,0:52.9,0:53.2,0:24.8
85,MAKARAINEN,Kaisa,FIN,24,0:33.7,0:32.2,0:33.0,0:54.3,0:52.9,0:53.6,0:33.9,0:33.2,0:32.9,0:32.1,0:54.8,0:54.7,0:53.8,0:51.1,0:23.7
86,MUN,Ji-Hee,KOR,13,0:33.6,0:32.5,0:33.0,0:55.7,0:54.6,0:55.2,0:34.2,0:32.3,0:32.9,,0:57.1,0:54.7,0:51.9,,0:26.3
87,POLTORANINA,Olga,KAZ,1,0:32.0,0:34.0,0:33.0,0:55.9,0:55.9,0:55.9,,0:33.0,,,,0:55.9,,,0:23.0
88,BRORSSON,Mona,SWE,21,0:33.7,0:32.5,0:33.1,0:54.4,0:53.1,0:53.7,0:32.5,0:33.2,0:33.6,0:30.4,0:53.6,0:54.2,0:54.2,0:48.8,0:25.5
89,NIKULINA,Anna,RUS,2,0:32.3,0:33.9,0:33.1,0:53.4,0:56.2,0:54.8,0:35.5,0:28.2,,,0:57.4,0:49.8,,,0:26.5
90,SHUMILOVA,Ekaterina,RUS,15,0:37.0,0:29.4,0:33.2,0:59.8,0:51.0,0:55.4,0:34.2,0:34.4,0:31.7,,0:56.4,0:56.5,0:54.1,,0:26.5
91,COOK,Annelies,USA,12,0:33.3,0:33.2,0:33.2,0:55.6,0:55.2,0:55.4,0:32.6,0:33.8,0:33.2,,0:54.2,0:56.3,0:55.7,,0:26.0
92,DAHLMEIER,Laura,GER,18,0:32.9,0:33.7,0:33.3,0:52.6,0:53.3,0:52.9,0:33.5,0:33.7,0:32.9,0:33.4,0:52.9,0:53.8,0:52.4,0:52.9,0:23.7
93,JISLOVA,Jessica,CZE,8,0:32.4,0:34.4,0:33.4,0:52.7,0:55.3,0:54.0,,0:34.4,0:32.5,,,0:55.5,0:52.8,,0:25.5
94,KISKOLA,Auli,FIN,2,0:39.0,0:27.8,0:33.4,1:03.8,0:51.1,0:57.4,0:32.3,0:35.8,,,0:57.7,0:56.9,,,0:27.0
95,GONTIER,Nicole,ITA,3,0:34.6,0:32.3,0:33.4,0:57.5,0:55.9,0:56.7,0:32.0,0:34.9,,,0:54.1,0:59.3,,,0:26.5
96,HILDEBRAND,Franziska,GER,23,0:33.3,0:33.8,0:33.5,0:54.2,0:54.5,0:54.4,0:35.3,0:37.0,0:31.8,0:32.2,0:56.7,0:58.1,0:52.6,0:52.4,0:23.9
